a,0.03302690298875171
aage,7.038981881660636e-06
aahed,7.038981881660636e-06
aanp,1.4077963763321272e-05
aap,7.038981881660636e-06
aargau,1.4077963763321272e-05
aaron,1.4077963763321272e-05
aasif,7.038981881660636e-06
abandon,2.111694564498191e-05
abandoned,4.9272873171624454e-05
abbasi,7.038981881660636e-06
abbey,1.4077963763321272e-05
abbie,3.519490940830318e-05
abbington,7.038981881660636e-06
abbot,7.038981881660636e-06
abby,7.038981881660636e-06
abc,3.519490940830318e-05
abdomen,7.038981881660636e-06
abduction,7.038981881660636e-06
abe,2.111694564498191e-05
abel,7.038981881660636e-06
aberdeen,7.038981881660636e-06
aberrant,7.038981881660636e-06
aberration,7.038981881660636e-06
abhor,7.038981881660636e-06
ability,0.00018301352892317654
abkhazia,7.038981881660636e-06
able,0.0004223389128996382
ably,7.038981881660636e-06
abnormal,7.038981881660636e-06
abnormality,1.4077963763321272e-05
abnormally,7.038981881660636e-06
abolish,2.111694564498191e-05
abolished,7.038981881660636e-06
abortion,8.446778257992763e-05
about,0.0029493334084158065
above,9.150676446158827e-05
abraham,7.038981881660636e-06
abridging,7.038981881660636e-06
abroad,4.9272873171624454e-05
abrogate,7.038981881660636e-06
abrupt,1.4077963763321272e-05
abruptly,7.038981881660636e-06
absence,2.8155927526642545e-05
absent,7.038981881660636e-06
absolute,1.4077963763321272e-05
absolutely,7.038981881660636e-05
absorb,7.038981881660636e-06
absorbed,7.038981881660636e-06
abstained,7.038981881660636e-06
abstract,1.4077963763321272e-05
abstracting,7.038981881660636e-06
absurd,2.111694564498191e-05
absurdity,4.223389128996382e-05
abuse,3.519490940830318e-05
abused,7.038981881660636e-06
abusing,2.111694564498191e-05
abusive,1.4077963763321272e-05
abutting,7.038981881660636e-06
abyss,7.038981881660636e-06
aca,1.4077963763321272e-05
academic,8.446778257992763e-05
academically,2.111694564498191e-05
academy,0.0002111694564498191
accelerate,7.038981881660636e-06
accelerated,7.038981881660636e-06
accelerator,4.223389128996382e-05
accept,4.9272873171624454e-05
acceptance,7.038981881660636e-06
accepted,2.111694564498191e-05
accepting,4.9272873171624454e-05
accepts,2.111694564498191e-05
access,0.00028155927526642545
accessible,1.4077963763321272e-05
accessory,7.038981881660636e-06
accident,6.335083693494573e-05
acclaim,7.038981881660636e-06
accommodation,7.038981881660636e-06
accompanied,3.519490940830318e-05
accomplish,2.111694564498191e-05
accomplished,7.038981881660636e-06
accomplishment,2.8155927526642545e-05
accord,7.038981881660636e-06
accordance,1.4077963763321272e-05
according,0.0008235608801542945
accordingly,1.4077963763321272e-05
account,0.0001337406557515521
accountability,8.446778257992763e-05
accountable,6.335083693494573e-05
accountant,1.4077963763321272e-05
accounting,1.4077963763321272e-05
accreditation,2.111694564498191e-05
accredited,7.038981881660636e-06
accumulate,7.038981881660636e-06
accumulated,7.038981881660636e-06
accumulates,7.038981881660636e-06
accumulation,7.038981881660636e-06
accurate,1.4077963763321272e-05
accurately,4.9272873171624454e-05
accusation,5.631185505328509e-05
accused,0.00012670167386989145
accuser,2.8155927526642545e-05
accuses,2.111694564498191e-05
accusing,7.038981881660636e-06
ace,7.038981881660636e-06
acemoglu,7.038981881660636e-06
achieve,4.9272873171624454e-05
achieved,1.4077963763321272e-05
achievement,1.4077963763321272e-05
achieves,7.038981881660636e-06
achieving,2.8155927526642545e-05
achingly,7.038981881660636e-06
acid,3.519490940830318e-05
acknowledge,4.223389128996382e-05
acknowledged,4.223389128996382e-05
acknowledgement,7.038981881660636e-06
acknowledges,2.111694564498191e-05
acknowledging,7.038981881660636e-06
acolyte,7.038981881660636e-06
acorn,7.038981881660636e-06
acosta,7.038981881660636e-06
acquire,2.8155927526642545e-05
acquired,1.4077963763321272e-05
acquiring,7.038981881660636e-06
acquisition,1.4077963763321272e-05
acre,1.4077963763321272e-05
acronym,7.038981881660636e-06
across,0.00028155927526642545
act,0.0004434558585446201
acted,7.038981881660636e-06
acting,5.631185505328509e-05
action,0.0003660270578463531
actionable,7.038981881660636e-06
activate,7.038981881660636e-06
activating,7.038981881660636e-06
activation,7.038981881660636e-06
active,0.00010558472822490954
actively,2.8155927526642545e-05
activism,4.223389128996382e-05
activist,0.00011262371010657018
activity,0.00014077963763321272
actor,9.150676446158827e-05
actress,1.4077963763321272e-05
actual,4.9272873171624454e-05
actually,0.00040826094913631693
acumen,7.038981881660636e-06
acutely,1.4077963763321272e-05
ad,2.8155927526642545e-05
adage,7.038981881660636e-06
adam,4.9272873171624454e-05
adamant,1.4077963763321272e-05
adamantly,7.038981881660636e-06
adapt,2.8155927526642545e-05
adaptable,7.038981881660636e-06
adaptation,3.519490940830318e-05
adapted,1.4077963763321272e-05
adapting,7.038981881660636e-06
add,7.7428800698267e-05
addams,7.038981881660636e-06
added,0.00020413047456815846
adderall,1.4077963763321272e-05
adding,0.00010558472822490954
addition,9.854574634324891e-05
additional,7.7428800698267e-05
additionally,5.631185505328509e-05
address,0.00021820843833147974
addressed,4.9272873171624454e-05
ade,2.8155927526642545e-05
adept,7.038981881660636e-06
adequate,1.4077963763321272e-05
adewunmi,7.038981881660636e-06
adhd,1.4077963763321272e-05
adhered,7.038981881660636e-06
adherence,7.038981881660636e-06
adhering,7.038981881660636e-06
adjust,2.8155927526642545e-05
adjusted,1.4077963763321272e-05
administer,2.111694564498191e-05
administered,2.111694564498191e-05
administering,1.4077963763321272e-05
administers,1.4077963763321272e-05
administration,0.0009080286627342222
administrator,1.4077963763321272e-05
admiral,7.038981881660636e-06
admiration,1.4077963763321272e-05
admit,2.111694564498191e-05
admitted,2.111694564498191e-05
admitting,7.038981881660636e-06
admonishing,7.038981881660636e-06
admonition,7.038981881660636e-06
adolescence,7.038981881660636e-06
adolescent,7.038981881660636e-06
adopted,2.8155927526642545e-05
adopting,1.4077963763321272e-05
adoption,1.4077963763321272e-05
adorn,7.038981881660636e-06
adult,0.00016893556515985527
adulthood,2.111694564498191e-05
advance,5.631185505328509e-05
advanced,1.4077963763321272e-05
advancement,7.038981881660636e-06
advancing,1.4077963763321272e-05
advantage,0.00012670167386989145
adventure,4.223389128996382e-05
adversary,1.4077963763321272e-05
adverse,2.8155927526642545e-05
advertise,7.038981881660636e-06
advertisement,2.8155927526642545e-05
advertiser,7.038981881660636e-06
advertising,2.111694564498191e-05
advice,2.8155927526642545e-05
advise,1.4077963763321272e-05
advised,1.4077963763321272e-05
adviser,0.00019709149268649781
advisor,1.4077963763321272e-05
advisory,2.111694564498191e-05
advocacy,6.335083693494573e-05
advocate,0.00019709149268649781
advocated,2.111694564498191e-05
advocating,2.8155927526642545e-05
aeg,2.8155927526642545e-05
aeon,7.038981881660636e-06
aerial,7.038981881660636e-06
aeropostale,7.038981881660636e-06
aeruginosa,1.4077963763321272e-05
aesthetic,2.111694564498191e-05
affair,6.335083693494573e-05
affect,0.00017597454704151592
affected,4.9272873171624454e-05
affecting,2.8155927526642545e-05
affiliation,7.038981881660636e-06
affinity,7.038981881660636e-06
affirmation,1.4077963763321272e-05
affirmative,7.038981881660636e-06
affirmatively,7.038981881660636e-06
affirmed,7.038981881660636e-06
affleck,7.038981881660636e-06
affluence,7.038981881660636e-06
affluent,7.038981881660636e-06
afford,5.631185505328509e-05
affordable,0.000154857601396534
afforded,7.038981881660636e-06
afghanistan,2.111694564498191e-05
afloat,7.038981881660636e-06
aforementioned,1.4077963763321272e-05
